scores,chosen_target_index,predicted_index,actual_target_player_num,predicted_player_num
"[3.2247053887723327, 3.351015892234723, 2.2832143629929433, -0.99539079741916, 0.3783657560815836, 1.745831328519631, 0.19879580481476733, -0.32768676687274545, 1.3949633241027375, 0.29454929944345865]",1,1,11,11
"[3.2247053887723327, 3.351015892234723, 2.2832143629929433, -0.99539079741916, 0.3783657560815836, 1.745831328519631, 0.19879580481476733, -0.32768676687274545, 1.3949633241027375, 0.29454929944345865]",0,1,12,11
"[-2.0571563254355225, -3.650698209557352, -0.36070441178940715, -1.41027204453439, 0.8108055320459009, 2.596579979928528, -3.143663892294297, 0.5320344190189314, 2.1025095022228757, 0.510366998857662]",5,5,18,18
"[-2.0571563254355225, -3.650698209557352, -0.36070441178940715, -1.41027204453439, 0.8108055320459009, 2.596579979928528, -3.143663892294297, 0.5320344190189314, 2.1025095022228757, 0.510366998857662]",7,5,16,18
"[1.8819119981422756, 0.15632259899414924, 2.733626124339474, -1.8968847312881607, -6.038695008059099, 3.0277156130866865, -2.4573190087643333, 1.1504379196897265, -4.0038126240806164, -0.9013928835990808]",5,5,18,18
"[1.8819119981422756, 0.15632259899414924, 2.733626124339474, -1.8968847312881607, -6.038695008059099, 3.0277156130866865, -2.4573190087643333, 1.1504379196897265, -4.0038126240806164, -0.9013928835990808]",1,5,11,18
"[-0.5774883393293115, -1.5841469718619412, 1.6272913154332482, -1.3235957066411035, -2.117304724860517, 2.1931030956782465, -3.1669829237966654, 0.16546878709477486, 1.7871048620088352, 1.4732477835905669]",9,5,13,18
"[-0.5774883393293115, -1.5841469718619412, 1.6272913154332482, -1.3235957066411035, -2.117304724860517, 2.1931030956782465, -3.1669829237966654, 0.16546878709477486, 1.7871048620088352, 1.4732477835905669]",5,5,18,18
"[-7.048003756299794, -3.9198381187929776, -2.0428529997693925, 0.810033104152154, 0.44710751487715505, 1.985845019225236, 2.3733677471629875, 0.25163357995688185, 1.2313584147030132, 2.097895973207122]",6,6,10,10
"[-7.048003756299794, -3.9198381187929776, -2.0428529997693925, 0.810033104152154, 0.44710751487715505, 1.985845019225236, 2.3733677471629875, 0.25163357995688185, 1.2313584147030132, 2.097895973207122]",4,6,23,10
"[-1.1414995355496331, -4.623561177562484, 1.020401263544821, 1.1737100065211217, 1.9594320902844649, 0.6021535840453096, -5.11848192890657, 0.7460172104281335, 0.841207081034844, 0.0532675830378011]",7,4,16,23
"[3.299703953641264, -4.152572792247563, -0.36746288068916044, -2.7451124255936525, 0.6015275183793438, 2.7621894704401955, -2.6821389617527647, -0.4840073524938161, 0.7920573801262458, 2.8683988368899627]",5,0,18,12
"[3.299703953641264, -4.152572792247563, -0.36746288068916044, -2.7451124255936525, 0.6015275183793438, 2.7621894704401955, -2.6821389617527647, -0.4840073524938161, 0.7920573801262458, 2.8683988368899627]",9,0,13,12
"[-0.05830618245147101, -2.563528468300185, -2.288566931403172, -1.6881240437708467, -0.21578196791537696, 1.788045379147616, -5.088079854121283, 0.1268150524816556, 0.768214732787557, 0.8016294447227028]",0,5,12,18
"[-0.33961781622084697, -1.0263095427075806, 0.7840806793893997, 1.1768724428354644, -1.6928800989093888, 2.3679613521116103, -1.6377745268415094, -0.3917873270260388, 0.9378485515219104, 2.350059739974134]",0,5,12,18
"[1.5279218909536953, 1.3303305763669515, 1.6379953030102818, -0.14792069396252971, -1.5323762717650675, 2.5692545701377965, -1.2473933603366456, -0.832532789375264, -0.9647204829119267, 2.39218930218827]",1,5,11,18
"[-1.7536405072317258, -3.493351754530164, 0.8629687871751932, -1.7154215065525267, 1.6419995913255327, 2.166816857351546, -4.760180465864995, 0.40093613577546994, 1.1540151331479214, 2.2903080333541483]",5,9,18,13
"[2.918200835531046, -0.5734943144640181, 0.7404068209022276, 1.7112548579268974, -1.145266714954718, 1.544584144373613, -2.1931941261125223, -0.5579140173481836, 0.7710156941513799, 2.506768042721145]",0,0,12,12
"[2.8767753609305293, -6.87817608682341, 1.8434068636212353, -3.866262812320925, -8.09190478376615, -5.537024016885156, -2.6404562084149377, 0.7421314241662083, -5.2901668007843, -0.7125317141048477]",7,0,16,12
"[2.4286593922693673, -2.7553689071975853, -0.3442433002446892, -3.600943730141739, 0.3719597418177285, 2.582942066643997, -1.0708145353770306, -0.538858220985081, 1.306991865491692, 1.6393724303344652]",6,5,10,18
"[1.5479678961531411, 0.29221612991708246, -0.6349919333367109, -0.015551251219604323, -0.6269964662356236, 1.2867436926836926, 2.5997791866805064, 1.2781242773784893, 1.5262661104676971, 0.5958208644953165]",7,6,16,10
"[-0.22451275776979318, -1.5941875476513117, -2.458177817026537, 1.28181139843565, -1.1725312043813045, 2.222584792646338, -2.2965782666387935, 0.9326039556531334, 0.4833548509717107, 1.7163977334557705]",1,5,11,18
"[1.298611187599105, -4.958001907118548, 2.4369773672910435, 1.0749304922365206, 0.6746855576144544, 1.2035802692114734, -3.7346034811517366, 0.07932911700234713, 0.964658395461008, 0.14051762380599708]",2,2,8,8
"[0.28082296995799005, -3.3925854214673263, 2.154327624404405, -0.2723430124521957, 0.4406786371637841, 1.548137509453924, -1.1331224021331399, -0.12340593799253119, 1.0114978250406228, -0.3470117430861155]",2,2,8,8
"[0.28082296995799005, -3.3925854214673263, 2.154327624404405, -0.2723430124521957, 0.4406786371637841, 1.548137509453924, -1.1331224021331399, -0.12340593799253119, 1.0114978250406228, -0.3470117430861155]",7,2,16,8
"[-2.969687240674933, -7.267086553644978, 3.0896442150279206, 1.459574358251372, 0.4302655635257411, 2.4510983163461515, -0.9518941480427316, 0.28497978547383607, 1.6314594286885338, 1.984858809553954]",9,2,13,8
"[1.590628621294954, -1.6352754776556724, 1.7068454288528705, 1.1890615017652597, -3.0925693251814526, 2.851672600739994, -2.5834030845198432, -0.4184161329011986, 0.8739668508571785, 1.8625804892204176]",5,5,18,18
"[0.702920230847869, -2.840080032194785, -2.7471184046956134, 1.1128199436664146, -1.2935779487605288, 0.17009705976675438, -0.2254379590537443, 0.9953289338537377, -0.14760858495830054, 2.183432750637687]",9,9,13,13
"[-1.5237307916106935, -3.326461667232734, -0.3019114330022057, -1.9389291267920679, 1.8733107767671517, 3.1397034202060095, -4.565903604253201, 0.015466368521349971, 1.5272476295145851, 0.578842614940229]",5,5,18,18
"[1.5217670370737024, -0.7244140390931668, 0.4017219729219277, -2.1433512623759587, 0.33315841940880864, 2.501682429986441, -2.1228280861466495, 0.21675641373548893, 1.8031074917499454, -0.4367267656584124]",5,5,18,18
"[1.513441064356713, -3.6527023274429276, -0.11598978857696807, -1.1849992199960138, -1.6703361164434618, 0.7026873727483236, -3.694354760972091, 0.3318160600630975, -0.26503713650126637, 1.6106943643010214]",9,9,13,13
"[1.9767957590234697, -0.5212619647684322, 1.5269484561729754, -2.024981374638174, -1.2484215537458851, 0.9402816337112418, -3.5167004560093686, 0.3338287949574663, 0.29677418322025595, 1.3872978938431095]",5,0,18,12
"[2.5731814592880418, -9.736523245047252, 2.3213948797810247, -9.258881567729151, -3.421344173662897, -5.673102326512563, 1.0237047418794476, -0.21595031664473718, -9.64444259186662, 0.0782241547989182]",6,0,10,12
"[2.2784666852344064, 0.021820799707366723, -0.020581901354273846, -4.419175707385583, -3.9994543602949397, 2.3822826095169765, -1.0864001739405165, -0.43384070843075273, 1.8803942652803576, -1.482876182849587]",5,5,18,18
"[0.4664881863016528, -2.6787686011216145, 0.14993644826469876, -5.881350353921347, -0.7023554499760727, 1.354839364689298, -4.075298400591426, -0.04604930746434177, 1.8128187236348392, -0.19891888266982694]",7,8,16,2
"[1.9094665664884745, -1.7431457823542487, 1.3725510216706114, -6.028423504188813, -1.477624587382012, 2.3697336526663797, -4.548392982152125, 0.226237015793618, 1.6441661607910456, 0.6770609626222883]",5,5,18,18
