Picture_id;player_num;Type;preference
1;11;HFM;1
1;12;LINK;2
2;18;SWITCH;1
2;16;SWITCH;2
4;18;LINK;1
4;11;LB;2
5;13;LINK;1
5;18;SWITCH;2
7;10;HFM;1
7;23;SWITCH;2
8;16;NOT_SPECIFIED;1
9;18;LINK;1
9;13;LINK;2
10;12;HFM;1
11;12;HFM;1
12;11;HFM;1
13;18;SWITCH;1
14;12;HFM;1
15;16;SWITCH;1
16;10;NOT_SPECIFIED;1
18;16;SWITCH;1
19;11;LB;1
21;8;HFM;1
22;8;NOT_SPECIFIED;1
22;16;NOT_SPECIFIED;2
23;13;LINK;1
24;18;SWITCH;1
26;13;LINK;1
27;18;SWITCH;1
28;18;SWITCH;1
29;13;LINK;1
31;18;SWITCH;1
32;10;HFM;1
33;18;SWITCH;1
35;16;SWITCH;1
36;18;SWITCH;1
37;18;HFM;1
38;13;LINK;1
39;18;HFM;1
41;12;HFM;1
43;18;SWITCH;1
46;18;SWITCH;1
48;18;SWITCH;1
