Picture_id;player_num;Type;preference;
1;18;SWITCH;1;
1;24;SWITCH;2;
2;28;LINK;1;
4;28;LINK;1;
4;23;SWITCH;2;
6;NOT_SPECIFIED;NOT_SPECIFIED;NOT_SPECIFIED;
8;23;SWITCH;1;
9;13;LINK;1;
10;28;LINK;1;
11;24;SWITCH;1;
12;24;SWITCH;1;
13;28;LINK;1;
14;23;NOT_SPECIFIED;1;
15;24;SWITCH;1;
16;23;SWITCH;1;
18;23;HFM;1;
19;23;HFM;1;
20;24;SWITCH;1;
21;28;LINK;1;
22;23;SWITCH;1;
23;8;HFM;1;
24;28;LINK;1;
26;18;SWITCH;1;
27;24;SWITCH;1;
28;28;HFM;1;
29;16;SWITCH;1;
31;24;SWITCH;1;
32;24;SWITCH;1;
33;18;HFM;1;
35;28;HFM;1;
36;23;HFM;1;
